"IRMS.ID","Name","Species","Facility","Type","Matrix.1","Matrix.2","isotope.raw","isotope.expected"
"20837","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.34,-26.52
"20835","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.51,-26.52
"20833","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.83,-26.52
"20810","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.83,-27.71
"20812","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.68,-27.71
"20814","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.84,-27.71
"20816","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.74,-27.71
"20818","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.91,-27.71
"20819","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.67,-27.71
"20817","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.71,-27.71
"20815","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.79,-27.71
"20813","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.78,-27.71
"20811","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.84,-27.71
"20822","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.95,-24.8
"20824","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-25.02,-24.8
"20826","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.99,-24.8
"20828","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.98,-24.8
"20830","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-25,-24.8
"20831","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.93,-24.8
"20829","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.9,-24.8
"20827","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.96,-24.8
"20825","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.92,-24.8
"20823","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.9,-24.8
"20842","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.8,-16.7
"20849","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.76,-16.7
"20851","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.65,-16.7
"20853","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.68,-16.7
"20855","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.71,-16.7
"20856","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.8,-16.7
"20854","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-16.92,-16.7
"20852","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-17.09,-16.7
"20850","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-17.33,-16.7
"20843","CSI Tuna","C","U.S. EPA","Linearity","High Organic","High Organic",-17.37,-16.7
"20857","IAEA600","C","U.S. EPA","Normalization","Compound","High Organic",-27.89,-27.77
"20860","IAEA600","C","U.S. EPA","Normalization","Compound","High Organic",-27.96,-27.77
"20863","IAEA600","C","U.S. EPA","Normalization","Compound","High Organic",-27.93,-27.77
"20866","IAEA600","C","U.S. EPA","Normalization","Compound","High Organic",-27.97,-27.77
"1_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.116640050056745,0
"2_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.041437195221089,0
"3_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0586224690072139,0
"4_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.061376848405409,0
"5_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.130879281889725,0
"6_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0874438571258599,0
"7_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",-0.0120620194234246,0
"8_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.0137218065579193,0
"9_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.12320994711493,0
"10_wg","Reference Gas","C","U.S. EPA","Linearity","Reference Gas","Reference Gas",0.193925507576648,0
"20871","USGS40","C","U.S. EPA","Normalization","Compound","High Organic",-26.42,-26.39
"20874","USGS40","C","U.S. EPA","Normalization","Compound","High Organic",-26.44,-26.39
