"IRMS.ID","Name","Weight.mg","Facility","Type","Matrix","isotope.raw_C","isotope.raw_N","isotope.expected_C","isotope.expected_N","isotope.precision_C","isotope.precision_N"
"20807","CSI Blue Grama",1.508,"U.S. EPA","Linearity","Plant",-13.3,1.6,-13.4,1.6,NA,NA
"20806","CSI Blue Grama",1.964,"U.S. EPA","Linearity","Plant",-13.2,2,-13.4,1.6,NA,NA
"20802","CSI Blue Grama",2.494,"U.S. EPA","Linearity","Plant",-13.3,2.1,-13.4,1.6,NA,NA
"20800","CSI Blue Grama",2.95,"U.S. EPA","Linearity","Plant",-13.3,2,-13.4,1.6,NA,NA
"20804","CSI Blue Grama",3.566,"U.S. EPA","Linearity","Plant",-13.1,NA,-13.4,NA,NA,NA
"20808","CSI Blue Grama",4.074,"U.S. EPA","Linearity","Plant",-13.2,2,-13.4,1.6,NA,NA
"20805","CSI Blue Grama",4.516,"U.S. EPA","Linearity","Plant",-13.3,2,-13.4,1.6,NA,NA
"20801","CSI Blue Grama",4.986,"U.S. EPA","Linearity","Plant",-13.3,2,-13.4,1.6,NA,NA
"20809","CSI Casein",0.099,"U.S. EPA","Linearity","High Organic",-27,5.7,-26.52,6.43,NA,NA
"20834","CSI Casein",0.21,"U.S. EPA","Linearity","High Organic",-26.9,5.9,-26.52,6.43,NA,NA
"20836","CSI Casein",0.309,"U.S. EPA","Linearity","High Organic",-26.9,6.1,-26.52,6.43,NA,NA
"20838","CSI Casein",0.394,"U.S. EPA","Linearity","High Organic",-27,6.4,-26.52,6.43,NA,NA
"20840","CSI Casein",0.514,"U.S. EPA","Linearity","High Organic",-27,6.5,-26.52,6.43,NA,NA
"20841","CSI Casein",0.603,"U.S. EPA","Linearity","High Organic",-27,6.5,-26.52,6.43,NA,NA
"20839","CSI Casein",0.696,"U.S. EPA","Linearity","High Organic",-27.2,6.6,-26.52,6.43,NA,NA
"20837","CSI Casein",0.805,"U.S. EPA","Linearity","High Organic",-27.3,6.6,-26.52,6.43,NA,NA
"20835","CSI Casein",0.898,"U.S. EPA","Linearity","High Organic",-27.5,6.6,-26.52,6.43,NA,NA
"20833","CSI Casein",1.001,"U.S. EPA","Linearity","High Organic",-27.8,6.6,-26.52,6.43,NA,NA
"20810","CSI Chile",0.49,"U.S. EPA","Linearity","Plant",-27.8,0.9,-27.71,1.88,NA,NA
"20812","CSI Chile",1.207,"U.S. EPA","Linearity","Plant",-27.7,2,-27.71,1.88,NA,NA
"20814","CSI Chile",1.963,"U.S. EPA","Linearity","Plant",-27.8,2.3,-27.71,1.88,NA,NA
"20816","CSI Chile",2.576,"U.S. EPA","Linearity","Plant",-27.7,2.3,-27.71,1.88,NA,NA
"20818","CSI Chile",3.426,"U.S. EPA","Linearity","Plant",-27.9,2.6,-27.71,1.88,NA,NA
"20819","CSI Chile",4.156,"U.S. EPA","Linearity","Plant",-27.7,2.6,-27.71,1.88,NA,NA
"20817","CSI Chile",4.788,"U.S. EPA","Linearity","Plant",-27.7,2.6,-27.71,1.88,NA,NA
"20815","CSI Chile",5.595,"U.S. EPA","Linearity","Plant",-27.8,2.4,-27.71,1.88,NA,NA
"20813","CSI Chile",6.194,"U.S. EPA","Linearity","Plant",-27.8,2.6,-27.71,1.88,NA,NA
"20811","CSI Chile",7.051,"U.S. EPA","Linearity","Plant",-27.8,2.5,-27.71,1.88,NA,NA
"20822","CSI Soil",4.044,"U.S. EPA","Linearity","Soil",-25,5.2,-24.8,6.55,NA,NA
"20824","CSI Soil",7.614,"U.S. EPA","Linearity","Soil",-25,6,-24.8,6.55,NA,NA
"20826","CSI Soil",11.19,"U.S. EPA","Linearity","Soil",-25,6.3,-24.8,6.55,NA,NA
"20828","CSI Soil",14.745,"U.S. EPA","Linearity","Soil",-25,6.5,-24.8,6.55,NA,NA
"20830","CSI Soil",19.206,"U.S. EPA","Linearity","Soil",-25,6.5,-24.8,6.55,NA,NA
"20831","CSI Soil",23.941,"U.S. EPA","Linearity","Soil",-24.9,6.6,-24.8,6.55,NA,NA
"20829","CSI Soil",28.093,"U.S. EPA","Linearity","Soil",-24.9,6.6,-24.8,6.55,NA,NA
"20827","CSI Soil",32.071,"U.S. EPA","Linearity","Soil",-25,6.6,-24.8,6.55,NA,NA
"20825","CSI Soil",35.975,"U.S. EPA","Linearity","Soil",-24.9,6.7,-24.8,6.55,NA,NA
"20823","CSI Soil",40.217,"U.S. EPA","Linearity","Soil",-24.9,6.7,-24.8,6.55,NA,NA
"20842","CSI Tuna",0.098,"U.S. EPA","Linearity","High Organic",-16.8,11.8,-16.7,13.32,NA,NA
"20849","CSI Tuna",0.206,"U.S. EPA","Linearity","High Organic",-16.8,12.8,-16.7,13.32,NA,NA
"20851","CSI Tuna",0.311,"U.S. EPA","Linearity","High Organic",-16.7,13,-16.7,13.32,NA,NA
"20853","CSI Tuna",0.402,"U.S. EPA","Linearity","High Organic",-16.7,13.2,-16.7,13.32,NA,NA
"20855","CSI Tuna",0.502,"U.S. EPA","Linearity","High Organic",-16.7,13.2,-16.7,13.32,NA,NA
"20856","CSI Tuna",0.609,"U.S. EPA","Linearity","High Organic",-16.8,13.3,-16.7,13.32,NA,NA
"20854","CSI Tuna",0.696,"U.S. EPA","Linearity","High Organic",-16.9,13.4,-16.7,13.32,NA,NA
"20852","CSI Tuna",0.803,"U.S. EPA","Linearity","High Organic",-17.1,13.3,-16.7,13.32,NA,NA
"20850","CSI Tuna",0.899,"U.S. EPA","Linearity","High Organic",-17.3,13.4,-16.7,13.32,NA,NA
"20843","CSI Tuna",1.019,"U.S. EPA","Linearity","High Organic",-17.4,13.3,-16.7,13.32,NA,NA
"20857","IAEA600",0.184,"U.S. EPA","Normalization","High Organic",-27.9,0.9,-27.77,1,0.04,0.2
"20860","IAEA600",0.174,"U.S. EPA","Normalization","High Organic",-28,0.9,-27.77,1,0.04,0.2
"20863","IAEA600",0.176,"U.S. EPA","Normalization","High Organic",-27.9,0.8,-27.77,1,0.04,0.2
"20866","IAEA600",0.165,"U.S. EPA","Normalization","High Organic",-28,0.9,-27.77,1,0.04,0.2
"1_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",0.116640050056745,-0.00704046625321642,0,0,NA,NA
