"Species","Method","Facility","Matrix","Extrapolation","Standards","QC_Deviation_(permil)","QC_95%_CI","m","b","m_95%_CI","b_95%_CI","Comments"
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS88",-0.015,0.099,1,-0.178,0.006,0.053,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS40_USGS89",-0.322,0.271,1.009,-0.161,0.01,0.046,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS40_USGS89",0.113,0.096,1.009,-0.161,0.01,0.046,NA
"N","Three-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS40_USGS89",-0.089,0.118,1.009,-0.161,0.01,0.046,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS89",-0.064,0.089,1.009,-0.161,0.01,0.046,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS90",-0.14,0.652,1.002,-0.176,0.024,0.138,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS90",0.038,0.276,1.002,-0.176,0.024,0.138,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS91",-0.12,0.336,1.006,-0.181,0.018,0.051,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS91",0.124,0.107,1.006,-0.181,0.018,0.051,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61_USGS63",-0.133,0.144,0.994,-0.106,0.004,0.078,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS61_USGS63",0.012,0.132,0.994,-0.106,0.004,0.078,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61_USGS63",-0.056,0.134,0.994,-0.106,0.004,0.078,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61_USGS88",-0.064,0.122,0.994,-0.105,0.004,0.039,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS61_USGS88",0.024,0.069,0.994,-0.105,0.004,0.039,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61_USGS88",-0.056,0.071,0.994,-0.105,0.004,0.039,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61_USGS89",-0.067,0.205,0.995,-0.1,0.01,0.04,NA
"N","Three-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS61_USGS89",-0.033,0.104,0.995,-0.1,0.01,0.04,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61_USGS89",-0.102,0.074,0.995,-0.1,0.01,0.04,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS90",-0.003,0.569,0.992,-0.106,0.026,0.141,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS90",-0.03,0.266,0.992,-0.106,0.026,0.141,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS91",0.26,0.315,0.975,-0.138,0.019,0.039,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS63_USGS88",-0.042,0.163,0.995,-0.119,0.004,0.102,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS63_USGS88",0.034,0.142,0.995,-0.119,0.004,0.102,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS63_USGS88",-0.045,0.144,0.995,-0.119,0.004,0.102,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS63_USGS89",-0.058,0.158,0.994,-0.105,0.004,0.093,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS63_USGS89",0,0.137,0.994,-0.105,0.004,0.093,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS63_USGS89",-0.057,0.143,0.994,-0.105,0.004,0.093,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS90",-0.035,0.329,0.995,-0.126,0.009,0.197,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS90",-0.009,0.293,0.995,-0.126,0.009,0.197,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS91",0.006,0.159,0.996,-0.164,0.004,0.09,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS91",0.045,0.143,0.996,-0.164,0.004,0.09,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS88_USGS89",-0.044,0.147,0.995,-0.112,0.007,0.064,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS88_USGS89",-0.056,0.084,0.995,-0.112,0.007,0.064,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS88_USGS90",-0.03,0.485,0.996,-0.129,0.022,0.225,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS88_USGS90",-0.022,0.279,0.996,-0.129,0.022,0.225,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS88_USGS91",-0.019,0.153,0.998,-0.167,0.007,0.06,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS88_USGS91",0.032,0.09,0.998,-0.167,0.007,0.06,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS89_USGS90",-0.032,0.666,0.996,-0.117,0.04,0.248,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS89_USGS90",-0.086,0.297,0.996,-0.117,0.04,0.248,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS89_USGS91",-0.107,0.287,1.009,-0.179,0.02,0.077,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS90_USGS91",-0.018,0.633,0.999,-0.166,0.037,0.194,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS90_USGS91",0.056,0.276,0.999,-0.166,0.037,0.194,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS61_USGS63",0.044,0.168,0.996,-0.159,0.004,0.093,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS61_USGS63",-0.01,0.168,0.996,-0.159,0.004,0.093,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS40_USGS61_USGS88",-0.093,0.271,0.998,-0.153,0.007,0.063,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS61_USGS88",0.035,0.123,0.998,-0.153,0.007,0.063,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS61_USGS88",-0.029,0.125,0.998,-0.153,0.007,0.063,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS40_USGS61_USGS89",-0.229,0.359,1.004,-0.133,0.013,0.06,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS61_USGS89",-0.002,0.121,1.004,-0.133,0.013,0.06,NA
"N","Three-Point","U.S. EPA","Mixed","Extrapolated","USGS40_USGS61_USGS89",-0.077,0.166,1.004,-0.133,0.013,0.06,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS61_USGS89",-0.085,0.122,1.004,-0.133,0.013,0.06,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS90",-0.067,0.665,0.999,-0.152,0.023,0.137,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS90",0.002,0.284,0.999,-0.152,0.023,0.137,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS91",0.082,0.491,0.994,-0.176,0.024,0.078,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS91",0.053,0.147,0.994,-0.176,0.024,0.078,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS63_USGS88",0.095,0.167,0.997,-0.198,0.004,0.104,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS63_USGS88",0.02,0.161,0.997,-0.198,0.004,0.104,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS63_USGS89",0.056,0.175,0.997,-0.172,0.005,0.103,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS63_USGS89",-0.002,0.171,0.997,-0.172,0.005,0.103,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS90",0.062,0.304,0.997,-0.194,0.008,0.184,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS91",0.094,0.152,0.997,-0.216,0.004,0.087,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS40_USGS88_USGS89",-0.196,0.247,1.002,-0.181,0.007,0.067,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS88_USGS89",0.081,0.119,1.002,-0.181,0.007,0.067,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS88_USGS89",-0.018,0.113,1.002,-0.181,0.007,0.067,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS88_USGS90",-0.175,0.568,1.002,-0.201,0.016,0.167,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS88_USGS90",0.066,0.279,1.002,-0.201,0.016,0.167,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS88_USGS91",-0.159,0.223,1.001,-0.209,0.006,0.054,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS88_USGS91",0.081,0.101,1.001,-0.209,0.006,0.054,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS89_USGS90",-0.192,0.597,1.005,-0.184,0.023,0.156,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS89_USGS90",0.046,0.28,1.005,-0.184,0.023,0.156,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS89_USGS91",-0.204,0.258,1.008,-0.19,0.012,0.055,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS89_USGS91",0.095,0.11,1.008,-0.19,0.012,0.055,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS90_USGS91",-0.128,0.652,1.003,-0.205,0.024,0.141,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS90_USGS91",0.094,0.278,1.003,-0.205,0.024,0.141,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS61_USGS63_USGS88",-0.148,0.162,0.994,-0.093,0.004,0.096,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS61_USGS63_USGS88",-0.011,0.147,0.994,-0.093,0.004,0.096,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS61_USGS63_USGS88",-0.067,0.144,0.994,-0.093,0.004,0.096,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS61_USGS63_USGS89",-0.156,0.156,0.994,-0.085,0.004,0.087,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS61_USGS63_USGS89",-0.025,0.143,0.994,-0.085,0.004,0.087,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS61_USGS63_USGS89",-0.074,0.143,0.994,-0.085,0.004,0.087,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS90",-0.137,0.324,0.994,-0.102,0.008,0.184,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS90",-0.025,0.295,0.994,-0.102,0.008,0.184,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS91",-0.095,0.169,0.995,-0.14,0.004,0.092,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS91",0.026,0.156,0.995,-0.14,0.004,0.092,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS61_USGS88_USGS89",-0.072,0.15,0.994,-0.086,0.006,0.053,NA
"N","Three-Point","U.S. EPA","Matched","Interpolated","USGS61_USGS88_USGS89",-0.037,0.087,0.994,-0.086,0.006,0.053,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS61_USGS88_USGS89",-0.071,0.085,0.994,-0.086,0.006,0.053,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS88_USGS90",-0.056,0.465,0.993,-0.097,0.017,0.177,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS88_USGS90",-0.038,0.272,0.993,-0.097,0.017,0.177,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS88_USGS91",-0.052,0.193,0.995,-0.135,0.007,0.063,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS88_USGS91",0.019,0.11,0.995,-0.135,0.007,0.063,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS89_USGS90",-0.027,0.549,0.992,-0.09,0.026,0.167,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS89_USGS90",-0.07,0.271,0.992,-0.09,0.026,0.167,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS89_USGS91",-0.025,0.279,0.995,-0.125,0.015,0.063,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS89_USGS91",0,0.116,0.995,-0.125,0.015,0.063,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS90_USGS91",0.013,0.598,0.993,-0.133,0.028,0.151,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS90_USGS91",0.034,0.279,0.993,-0.133,0.028,0.151,NA
"N","Three-Point","U.S. EPA","Matched","Extrapolated","USGS63_USGS88_USGS89",-0.067,0.183,0.994,-0.085,0.005,0.125,NA
"N","Three-Point","U.S. EPA","Mixed","Extrapolated","USGS63_USGS88_USGS89",-0.114,0.171,0.994,-0.085,0.005,0.125,NA
"N","Three-Point","U.S. EPA","Mixed","Interpolated","USGS63_USGS88_USGS89",-0.032,0.153,0.994,-0.085,0.005,0.125,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS88_USGS90",-0.029,0.367,0.995,-0.119,0.011,0.271,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS88_USGS91",0.033,0.178,0.997,-0.179,0.005,0.116,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS88_USGS91",0.057,0.156,0.997,-0.179,0.005,0.116,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS89_USGS90",-0.063,0.342,0.994,-0.101,0.01,0.225,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS89_USGS90",0,0.286,0.994,-0.101,0.01,0.225,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS89_USGS91",0.003,0.179,0.996,-0.15,0.005,0.108,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS89_USGS91",0.021,0.159,0.996,-0.15,0.005,0.108,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS90_USGS91",0.03,0.332,0.996,-0.176,0.009,0.205,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS90_USGS91",0.06,0.293,0.996,-0.176,0.009,0.205,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS88_USGS89_USGS90",-0.053,0.595,0.993,-0.089,0.036,0.381,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS88_USGS89_USGS91",-0.012,0.185,1,-0.175,0.01,0.091,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS88_USGS89_USGS91",-0.001,0.107,1,-0.175,0.01,0.091,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS88_USGS90_USGS91",0.008,0.463,1.002,-0.205,0.024,0.244,NA
"N","Three-Point","U.S. EPA",NA,"Interpolated","USGS88_USGS90_USGS91",0.076,0.266,1.002,-0.205,0.024,0.244,NA
"N","Three-Point","U.S. EPA",NA,"Extrapolated","USGS89_USGS90_USGS91",-0.043,0.655,1.007,-0.206,0.045,0.288,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS40_USGS61_USGS63",0.042,0.134,0.996,-0.149,0.003,0.065,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS61_USGS63",-0.019,0.134,0.996,-0.149,0.003,0.065,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS40_USGS61_USGS88",-0.095,0.226,0.998,-0.146,0.006,0.045,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS40_USGS61_USGS88",0.042,0.101,0.998,-0.146,0.006,0.045,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS61_USGS88",-0.034,0.102,0.998,-0.146,0.006,0.045,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS40_USGS61_USGS89",-0.228,0.29,1.004,-0.133,0.01,0.043,NA
"N","Four-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS40_USGS61_USGS89",-0.076,0.132,1.004,-0.133,0.01,0.043,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS61_USGS89",-0.084,0.097,1.004,-0.133,0.01,0.043,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS61_USGS90",-0.075,0.538,0.999,-0.146,0.019,0.097,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS61_USGS90",-0.016,0.229,0.999,-0.146,0.019,0.097,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS61_USGS91",-0.008,0.356,0.998,-0.159,0.018,0.052,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS40_USGS63_USGS88",0.082,0.133,0.997,-0.171,0.003,0.071,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS63_USGS88",-0.003,0.13,0.997,-0.171,0.003,0.071,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS40_USGS63_USGS89",0.049,0.139,0.996,-0.157,0.004,0.07,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS63_USGS89",-0.015,0.136,0.996,-0.157,0.004,0.07,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS63_USGS90",0.04,0.238,0.997,-0.17,0.006,0.124,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS63_USGS91",0.072,0.129,0.997,-0.188,0.003,0.064,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS40_USGS88_USGS89",-0.181,0.212,1.001,-0.165,0.006,0.049,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS40_USGS88_USGS89",0.095,0.101,1.001,-0.165,0.006,0.049,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS40_USGS88_USGS89",-0.03,0.095,1.001,-0.165,0.006,0.049,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS88_USGS90",-0.151,0.465,1,-0.177,0.013,0.114,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS88_USGS90",0.043,0.22,1,-0.177,0.013,0.114,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS88_USGS91",-0.149,0.211,1,-0.187,0.006,0.044,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS88_USGS91",0.064,0.093,1,-0.187,0.006,0.044,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS89_USGS90",-0.183,0.489,1.004,-0.169,0.019,0.109,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS89_USGS90",0.03,0.224,1.004,-0.169,0.019,0.109,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS89_USGS91",-0.215,0.225,1.008,-0.177,0.01,0.042,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS89_USGS91",0.127,0.098,1.008,-0.177,0.01,0.042,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS40_USGS90_USGS91",-0.131,0.541,1.002,-0.186,0.02,0.101,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS40_USGS90_USGS91",0.088,0.23,1.002,-0.186,0.02,0.101,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61_USGS63_USGS88",-0.134,0.122,0.994,-0.105,0.003,0.062,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS61_USGS63_USGS88",0.023,0.112,0.994,-0.105,0.003,0.062,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61_USGS63_USGS88",-0.057,0.113,0.994,-0.105,0.003,0.062,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61_USGS63_USGS89",-0.141,0.122,0.994,-0.099,0.003,0.06,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS61_USGS63_USGS89",-0.003,0.113,0.994,-0.099,0.003,0.06,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61_USGS63_USGS89",-0.062,0.114,0.994,-0.099,0.003,0.06,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS63_USGS90",-0.128,0.244,0.994,-0.11,0.006,0.121,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS63_USGS90",-0.021,0.227,0.994,-0.11,0.006,0.121,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS63_USGS91",-0.1,0.131,0.995,-0.135,0.003,0.063,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS63_USGS91",0.025,0.123,0.995,-0.135,0.003,0.063,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61_USGS88_USGS89",-0.072,0.126,0.994,-0.1,0.005,0.038,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61_USGS88_USGS89",-0.062,0.072,0.994,-0.1,0.005,0.038,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS88_USGS90",-0.056,0.361,0.994,-0.107,0.013,0.117,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS88_USGS90",-0.036,0.209,0.994,-0.107,0.013,0.117,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS88_USGS91",-0.053,0.157,0.995,-0.132,0.006,0.044,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS88_USGS91",0.022,0.09,0.995,-0.132,0.006,0.044,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS89_USGS90",-0.031,0.437,0.993,-0.101,0.02,0.114,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS89_USGS90",-0.098,0.21,0.993,-0.101,0.02,0.114,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS89_USGS91",-0.025,0.23,0.995,-0.125,0.013,0.045,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS61_USGS90_USGS91",0.012,0.484,0.992,-0.13,0.022,0.106,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS61_USGS90_USGS91",0.06,0.232,0.992,-0.13,0.022,0.106,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS63_USGS88_USGS89",-0.058,0.133,0.994,-0.105,0.004,0.074,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS63_USGS88_USGS89",-0.057,0.12,0.994,-0.105,0.004,0.074,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS88_USGS90",-0.039,0.265,0.995,-0.122,0.007,0.151,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS88_USGS90",-0.025,0.24,0.995,-0.122,0.007,0.151,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS88_USGS91",-0.002,0.136,0.996,-0.155,0.004,0.073,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS88_USGS91",0.039,0.122,0.996,-0.155,0.004,0.073,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS89_USGS90",-0.052,0.256,0.995,-0.111,0.007,0.138,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS89_USGS90",-0.042,0.233,0.995,-0.111,0.007,0.138,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS89_USGS91",-0.018,0.138,0.995,-0.141,0.004,0.071,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS89_USGS91",0.015,0.126,0.995,-0.141,0.004,0.071,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS63_USGS90_USGS91",-0.002,0.252,0.996,-0.156,0.007,0.131,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS63_USGS90_USGS91",0.047,0.23,0.996,-0.156,0.007,0.131,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS88_USGS89_USGS90",-0.038,0.396,0.995,-0.115,0.018,0.17,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS88_USGS89_USGS90",-0.087,0.236,0.995,-0.115,0.018,0.17,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS88_USGS89_USGS91",-0.034,0.155,0.999,-0.153,0.007,0.058,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS88_USGS89_USGS91",-0.007,0.09,0.999,-0.153,0.007,0.058,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS88_USGS90_USGS91",-0.021,0.364,0.999,-0.166,0.016,0.144,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","IAEA600_USGS88_USGS90_USGS91",0.057,0.209,0.999,-0.166,0.016,0.144,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","IAEA600_USGS89_USGS90_USGS91",-0.048,0.502,1.001,-0.163,0.029,0.162,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS61_USGS63_USGS88",0.042,0.14,0.996,-0.152,0.004,0.073,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS61_USGS63_USGS88",-0.018,0.139,0.996,-0.152,0.004,0.073,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS61_USGS63_USGS89",0.016,0.145,0.996,-0.141,0.004,0.072,NA
