"Name","N","C"
"IAEA600",0.0996486916218148,0.0723479071675355
"USGS40",0.107306702968519,0.0652651629269432
"USGS61",0.0663078108516896,0.0428377374667779
"USGS63",0.190829637291669,0.0833326416800647
"USGS88",0.146449805887817,0.0728518934125737
"USGS89",0.150206434616588,0.22633622080549
"USGS90",0.334209734492521,0.0828030756058089
"USGS91",0.176848130163216,0.0767633955181211
